@relation 'vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-R2-Fyyyy-MM-dd\'T\'HH:mm:ss_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A17-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Class {democrat,republican}

@data
0.025056,-0.023402,0.015926,-0.039001,0.032804,0.026953,0.048638,0.015563,-0.007354,-0.091204,0.111274,-0.021975,-0.02705,-0.034679,-0.05578,0.03562,republican
-0.011864,-0.01821,-0.08242,-0.128205,-0.022221,-0.080828,0.044716,0.0225,0.055139,-0.081821,-0.047085,-0.023421,-0.112528,-0.01343,-0.071917,0.036157,republican
-0.075942,0.059096,-0.085043,0.135466,0.082804,0.1387,-0.026881,-0.005206,-0.022503,0.064329,0.017545,0.096294,0.09666,-0.100159,0.014291,0.109851,democrat
-0.062904,-0.087812,0.001325,-0.232016,-0.052257,-0.044806,0.106684,0.101291,0.042778,-0.034401,-0.004651,0.071358,-0.028157,-0.075993,-0.056805,-0.055564,democrat
-0.051933,-0.055614,0.031106,-0.136577,-0.070364,0.031526,0.011098,-0.020227,0.024823,-0.065058,-0.116235,-0.115372,-0.087048,-0.096614,-0.116964,-0.009822,democrat
-0.045062,-0.01507,0.005177,-0.184421,-0.083323,-0.032686,0.056004,-0.041999,0.020589,-0.015592,-0.081096,0.031093,-0.124091,-0.052713,-0.019319,0.008967,democrat
-0.001602,-0.009421,-0.035747,-0.012823,-0.04838,0.016522,0.035714,-0.010774,0.075679,0.05195,0.024819,0.080722,-0.121018,-0.02597,-0.007129,0.012638,democrat
-0.002094,-0.01309,-0.083494,-0.028557,-0.133139,0.012255,0.016932,-0.07097,0.032116,0.042891,0.042039,0.040997,-0.086288,-0.034869,0.010135,0.038947,republican
-0.029079,0.003873,-0.045792,-0.017518,0.019861,-0.003521,0.015926,-0.022048,0.048852,0.005012,0.004062,-0.007444,-0.018866,0.026805,-0.02018,0.00249,republican
0.049084,-0.033715,-0.115742,-0.219531,-0.205858,-0.113729,0.039229,0.07989,0.013881,-0.155362,-0.146769,-0.027868,-0.194466,-0.072363,-0.089816,0.060821,democrat
