@relation winequality-red-weka.filters.unsupervised.instance.RemovePercentage-P34.0-V_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A12-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute class {3,4,5,6,7,8}

@data
0.111215,0.18985,-0.023327,-0.057254,-0.035899,0.004195,-0.043128,-0.021548,0.09635,0.071853,-0.087488,5
0.084557,0.197726,-0.061137,-0.031748,-0.010392,0.014026,-0.003833,-0.038473,0.138248,0.099598,-0.084711,5
0.090856,0.204914,-0.045349,-0.037513,-0.019955,0.006895,-0.00999,-0.025294,0.120224,0.080866,-0.092029,5
0.092536,0.19238,-0.026636,-0.000248,-0.070668,0.006706,-0.014516,0.007514,0.060424,0.100057,-0.076943,6
0.111215,0.18985,-0.023327,-0.057254,-0.035899,0.004195,-0.043128,-0.021548,0.09635,0.071853,-0.087488,5
0.11549,0.189635,-0.024533,-0.054882,-0.038363,0.009899,-0.043117,-0.017242,0.094616,0.070185,-0.08505,5
0.104471,0.192619,-0.0362,-0.019215,-0.04056,0.023065,-0.014134,-0.019835,0.091095,0.067573,-0.100329,5
0.09639,0.174039,-0.055984,-0.034426,-0.044709,0.01415,-0.025888,-0.023573,0.097566,0.092145,-0.123176,7
0.088947,0.179125,-0.027635,-0.04862,-0.040545,0.016288,-0.023215,-0.007053,0.102962,0.068941,-0.103708,7
0.102007,0.23196,-0.003073,-0.018861,0.034312,-0.016059,-0.020854,0.027193,0.092239,0.103523,-0.085097,5
0.090378,0.202305,-0.042264,-0.032832,-0.019059,0.029485,-0.003577,-0.016094,0.079873,0.062303,-0.096188,5
0.102007,0.23196,-0.003073,-0.018861,0.034312,-0.016059,-0.020854,0.027193,0.092239,0.103523,-0.085097,5
0.132641,0.18843,-0.051721,-0.041343,-0.019265,0.002231,-0.031238,-0.010117,0.067559,0.080819,-0.113826,5
0.011661,0.178227,-0.085464,-0.076684,0.019724,-0.054307,-0.033444,0.043984,0.130339,0.052914,-0.013748,5
0.132485,0.171915,-0.063729,-0.02334,-0.010696,0.040491,0.025359,-0.000475,0.115961,0.11871,-0.027616,5
0.131121,0.172131,-0.063921,-0.020756,-0.005443,0.032624,0.022333,0.00492,0.117823,0.11523,-0.024144,5
0.099805,0.224794,-0.062693,-0.01885,-0.033495,0.025518,-0.035083,0.011169,0.05158,0.124853,-0.056807,7
0.119282,0.17284,-0.093448,-0.116424,-0.022838,-0.021921,0.092754,0.019643,0.079443,0.084806,-0.051909,5
0.089495,0.17499,0.009217,-0.046609,-0.009589,0.009695,-0.009895,-0.003965,0.086359,0.073411,-0.109261,4
0.089329,0.197375,-0.074934,-0.107815,-0.02705,0.015544,0.084006,0.017833,0.037049,0.092511,-0.057342,6
0.097385,0.170288,-0.03443,-0.022811,-0.058289,0.034177,-0.038928,0.009321,0.032275,0.113791,-0.071865,6
0.115583,0.20583,-0.024031,-0.048787,-0.032753,0.019586,-0.052814,0.007363,0.056505,0.093574,-0.062527,5
0.055456,0.196862,-0.053831,-0.049555,-0.022838,0.012467,-0.003126,0.021037,0.10064,0.056457,-0.075727,5
0.103197,0.200452,-0.023934,-0.011568,-0.035953,0.020715,0.011428,0.001551,0.094767,0.04959,-0.103163,5
0.092732,0.187862,-0.031757,-0.058373,-0.030022,0.03977,-0.033996,0.009794,0.078622,0.088133,-0.087917,6
0.061576,0.195236,-0.03813,-0.054664,-0.028778,0.041669,-0.024121,0.000031,0.062487,0.065763,-0.10245,5
0.058616,0.19622,-0.027845,-0.049503,-0.035659,0.019421,-0.018437,0.001443,0.070453,0.06871,-0.106163,5
0.055456,0.196862,-0.053831,-0.049555,-0.022838,0.012467,-0.003126,0.021037,0.10064,0.056457,-0.075727,5
0.101959,0.188342,-0.03164,-0.055657,-0.031089,0.012098,-0.037487,-0.025841,0.096287,0.078407,-0.090723,5
0.097429,0.179389,-0.034374,-0.049929,-0.039349,0.003039,-0.020628,-0.010624,0.108511,0.075994,-0.110434,6
0.117149,0.220598,-0.044795,-0.02502,-0.010874,0.010304,-0.011438,-0.019996,0.091913,0.081759,-0.105304,5
0.11861,0.201406,-0.044944,-0.065662,-0.030993,0.022765,-0.028783,-0.02216,0.108971,0.11437,-0.1074,6
0.118816,0.223199,-0.046399,0.007521,-0.01319,-0.00401,0.009127,-0.006294,0.1088,0.055443,-0.087008,5
0.099675,0.153044,0.052839,-0.039046,0.058944,0.045445,-0.01595,0.013967,0.114383,0.161033,-0.093743,6
0.068863,0.220247,-0.031514,-0.061236,-0.01063,0.050903,-0.021797,0.002204,0.033591,0.064107,-0.094136,5
0.09992,0.181163,0.023178,-0.060394,-0.007728,0.006217,-0.012334,0.001243,0.116993,0.083592,-0.1144,6
0.103791,0.227306,-0.022056,-0.065231,-0.037375,-0.004354,-0.033826,-0.010896,0.1006,0.090618,-0.114651,6
0.052517,0.197914,-0.037175,-0.040694,-0.029713,0.024549,-0.024972,0.012998,0.088287,0.077732,-0.085539,7
0.099395,0.196749,-0.071386,-0.072607,-0.00534,-0.04534,-0.007599,-0.088445,0.066173,0.125533,-0.125847,4
0.09009,0.236819,-0.000731,-0.029371,0.033161,-0.012861,-0.019331,0.033193,0.091378,0.093626,-0.088602,5
0.09009,0.236819,-0.000731,-0.029371,0.033161,-0.012861,-0.019331,0.033193,0.091378,0.093626,-0.088602,5
0.077088,0.190085,-0.023913,-0.029852,-0.032553,0.013044,-0.016904,-0.02856,0.077707,0.103336,-0.086568,4
0.132656,0.201449,-0.055689,-0.131985,-0.040496,0.006922,0.076851,0.007158,0.076336,0.105516,-0.109634,6
0.040825,0.197159,-0.069251,-0.056096,0.00226,-0.04318,-0.042152,0.02197,0.138727,0.081888,-0.062065,5
0.081463,0.188061,-0.027371,-0.052084,-0.02792,0.002346,-0.045752,-0.020637,0.090611,0.070627,-0.109066,5
0.190675,0.269082,-0.051597,-0.051042,-0.011218,-0.045578,-0.081273,0.011982,0.057407,0.121677,-0.153472,4
0.073821,0.232875,-0.065661,-0.012101,0.016753,-0.034279,-0.018024,-0.060275,0.069186,0.107375,-0.049554,5
0.070946,0.203154,-0.031366,-0.041105,-0.049291,0.019056,-0.014064,-0.001044,0.033551,0.094126,-0.085755,5
0.044535,0.20191,-0.02829,-0.055388,-0.023226,0.030904,-0.032173,-0.002716,0.056528,0.063257,-0.102604,5
